2026-07-20 09:00:00,000 | INFO | 192.168.56.10 | GET /register
2026-07-20 09:00:06,000 | WARNING | 192.168.56.20 | GET /
2026-07-20 09:00:12,000 | INFO | 192.168.56.44 | GET /authenticator
2026-07-20 09:00:21,000 | INFO | 192.168.56.11 | POST /authenticator
2026-07-20 09:00:08,000 | INFO | 192.168.56.44 | GET /static/css/home.css
2026-07-20 09:00:10,000 | WARNING | 192.168.56.10 | GET /
2026-07-20 09:00:30,000 | WARNING | 10.0.2.15 | POST /
2026-07-20 09:00:35,000 | INFO | 192.168.56.101 | POST /api/debug
2026-07-20 09:00:40,000 | INFO | 192.168.56.10 | POST /favicon.ico
2026-07-20 09:00:09,000 | WARNING | 10.0.2.15 | GET /login
2026-07-20 09:01:10,000 | WARNING | 10.0.2.15 | GET /api/current-code
2026-07-20 09:00:33,000 | INFO | 192.168.56.11 | GET /reset-password
2026-07-20 09:00:36,000 | WARNING | 192.168.56.44 | POST /api/current-code
2026-07-20 09:00:26,000 | ERROR | 192.168.56.7 | POST /robots.txt
2026-07-20 09:00:56,000 | WARNING | 192.168.56.10 | GET /favicon.ico
2026-07-20 09:01:00,000 | INFO | 192.168.56.7 | POST /api/debug
2026-07-20 09:00:16,000 | WARNING | 192.168.56.44 | GET /verify-mfa
2026-07-20 09:01:42,000 | INFO | 192.168.56.10 | POST /
2026-07-20 09:00:18,000 | INFO | 192.168.56.7 | POST /login
2026-07-20 09:00:57,000 | INFO | 192.168.56.44 | GET /register
2026-07-20 09:01:40,000 | WARNING | 192.168.56.101 | GET /api/debug
2026-07-20 09:01:03,000 | INFO | 192.168.56.101 | GET /favicon.ico
2026-07-20 09:01:28,000 | WARNING | 172.16.0.5 | GET /favicon.ico
2026-07-20 09:00:23,000 | INFO | 172.16.0.5 | POST /login
2026-07-20 09:01:36,000 | INFO | 10.0.2.15 | POST /favicon.ico
2026-07-20 09:02:05,000 | ERROR | 192.168.56.20 | GET /support
2026-07-20 09:01:44,000 | WARNING | 192.168.56.11 | GET /authenticator
2026-07-20 09:01:48,000 | INFO | 192.168.56.10 | analyst note: challenge flag is CTF{L0G_GR3P_EASY}
2026-07-20 09:01:21,000 | INFO | 10.0.2.15 | POST /static/css/home.css
2026-07-20 09:01:52,000 | INFO | 192.168.56.44 | POST /backup_secrets/
2026-07-20 09:00:58,000 | INFO | 192.168.56.44 | POST /
2026-07-20 09:03:00,000 | ERROR | 192.168.56.44 | GET /
2026-07-20 09:02:35,000 | WARNING | 192.168.56.10 | POST /
2026-07-20 09:01:36,000 | INFO | 192.168.56.101 | GET /reset-password
2026-07-20 09:02:12,000 | INFO | 192.168.56.44 | POST /support
2026-07-20 09:01:08,000 | INFO | 192.168.56.44 | POST /support
2026-07-20 09:02:55,000 | WARNING | 192.168.56.10 | POST /authenticator
2026-07-20 09:01:12,000 | INFO | 192.168.56.20 | GET /
2026-07-20 09:01:51,000 | INFO | 192.168.56.44 | GET /api/debug
2026-07-20 09:01:16,000 | INFO | 192.168.56.10 | POST /verify-mfa
2026-07-20 09:04:33,000 | WARNING | 192.168.56.101 | GET /
