2026-07-20 10:00:00,000 | INFO | 192.168.56.44 | GET /robots.txt | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:00:04,000 | INFO | 192.168.56.7 | POST /backup_secrets/ | ua="curl/8.4.0"
2026-07-20 10:00:04,000 | ERROR | 172.16.0.5 | POST /robots.txt | ua="Nmap Scripting Engine"
2026-07-20 10:00:12,000 | WARNING | 192.168.56.101 | POST /robots.txt | ua="Nmap Scripting Engine"
2026-07-20 10:00:08,000 | INFO | 172.16.0.5 | POST /support | ua="curl/8.4.0"
2026-07-20 10:00:05,000 | INFO | 172.16.0.5 | GET /authenticator | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:00:18,000 | INFO | 192.168.56.101 | POST /robots.txt | ua="python-requests/2.31.0"
2026-07-20 10:00:35,000 | WARNING | 192.168.56.101 | GET /support | ua="Wget/1.21.3"
2026-07-20 10:00:56,000 | INFO | 192.168.56.7 | POST /api/status | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:00:18,000 | INFO | 192.168.56.10 | POST /verify-mfa | ua="Wget/1.21.3"
2026-07-20 10:00:50,000 | INFO | 192.168.56.7 | POST /robots.txt | ua="Wget/1.21.3"
2026-07-20 10:00:22,000 | INFO | 192.168.56.7 | POST /favicon.ico | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:01:00,000 | INFO | 192.168.56.11 | POST /reset-password | ua="Nmap Scripting Engine"
2026-07-20 10:01:05,000 | ERROR | 192.168.56.10 | POST /api/status | ua="curl/8.4.0"
2026-07-20 10:00:56,000 | WARNING | 192.168.56.7 | GET /reset-password | ua="Nmap Scripting Engine"
2026-07-20 10:01:30,000 | INFO | 192.168.56.44 | GET /api/status | ua="python-requests/2.31.0"
2026-07-20 10:00:32,000 | INFO | 192.168.56.101 | GET /login | ua="Nmap Scripting Engine"
2026-07-20 10:00:34,000 | INFO | 172.16.0.5 | GET /support | ua="Wget/1.21.3"
2026-07-20 10:01:48,000 | WARNING | 192.168.56.10 | POST /robots.txt | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:00:19,000 | INFO | 192.168.56.20 | GET /robots.txt | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:02:00,000 | ERROR | 192.168.56.11 | POST / | ua="Wget/1.21.3"
2026-07-20 10:01:45,000 | INFO | 192.168.56.7 | POST /support | ua="python-requests/2.31.0"
2026-07-20 10:02:12,000 | WARNING | 192.168.56.101 | POST / | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:00:46,000 | INFO | 192.168.56.20 | GET /verify-mfa | ua="curl/8.4.0"
2026-07-20 10:02:24,000 | INFO | 10.0.2.15 | GET /authenticator | ua="Nmap Scripting Engine"
2026-07-20 10:02:30,000 | INFO | 10.0.2.15 | POST /static/css/home.css | ua="curl/8.4.0"
2026-07-20 10:02:10,000 | WARNING | 192.168.56.44 | POST /authenticator | ua="python-requests/2.31.0"
2026-07-20 10:02:15,000 | INFO | 10.0.2.15 | GET /robots.txt | ua="Nmap Scripting Engine"
2026-07-20 10:03:16,000 | WARNING | 192.168.56.44 | POST /support | ua="curl/8.4.0"
2026-07-20 10:00:58,000 | INFO | 192.168.56.11 | GET /register | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:01:00,000 | INFO | 192.168.56.11 | POST /register | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:02:04,000 | INFO | 192.168.56.44 | POST /backup_secrets/ | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:03:44,000 | WARNING | 192.168.56.20 | GET /api/debug | ua="Wget/1.21.3"
2026-07-20 10:01:39,000 | WARNING | 192.168.56.10 | POST /verify-mfa | ua="curl/8.4.0"
2026-07-20 10:01:42,000 | INFO | 192.168.56.101 | GET /verify-mfa | ua="python-requests/2.31.0"
2026-07-20 10:04:05,000 | INFO | 172.16.0.5 | POST /robots.txt | ua="python-requests/2.31.0"
2026-07-20 10:00:36,000 | INFO | 192.168.56.11 | GET /api/debug | ua="Nmap Scripting Engine"
2026-07-20 10:04:19,000 | WARNING | 192.168.56.11 | GET / | ua="curl/8.4.0"
2026-07-20 10:01:54,000 | WARNING | 172.16.0.5 | GET / | ua="python-requests/2.31.0"
2026-07-20 10:04:33,000 | INFO | 192.168.56.44 | POST /reset-password | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:02:40,000 | INFO | 172.16.0.5 | POST /backup_secrets/ | ua="Wget/1.21.3"
2026-07-20 10:04:47,000 | INFO | 192.168.56.101 | GET /robots.txt | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:04:12,000 | INFO | 172.16.0.5 | GET /api/current-code | ua="python-requests/2.31.0"
2026-07-20 10:02:09,000 | WARNING | 192.168.56.44 | GET /authenticator | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:04:24,000 | INFO | 192.168.56.101 | POST / | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:00:45,000 | INFO | 192.168.56.44 | GET /static/css/home.css | ua="python-requests/2.31.0"
2026-07-20 10:00:46,000 | INFO | 192.168.56.7 | GET /robots.txt | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:03:55,000 | INFO | 192.168.56.10 | GET /favicon.ico | ua="Nmap Scripting Engine"
2026-07-20 10:01:36,000 | WARNING | 192.168.56.7 | GET /favicon.ico | ua="Wget/1.21.3"
2026-07-20 10:04:54,000 | INFO | 192.168.56.101 | GET /robots.txt | ua="python-requests/2.31.0"
2026-07-20 10:01:40,000 | WARNING | 192.168.56.11 | POST /register | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:01:42,000 | INFO | 192.168.56.10 | POST /favicon.ico | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:02:36,000 | INFO | 192.168.56.101 | GET /static/css/home.css | ua="curl/8.4.0"
2026-07-20 10:02:39,000 | INFO | 192.168.56.10 | GET /login | ua="Nmap Scripting Engine"
2026-07-20 10:05:24,000 | INFO | 192.168.56.44 | POST /static/css/home.css | ua="python-requests/2.31.0"
2026-07-20 10:03:40,000 | WARNING | 192.168.56.20 | GET /api/current-code | ua="Nmap Scripting Engine"
2026-07-20 10:00:56,000 | INFO | 192.168.56.11 | POST /robots.txt | ua="curl/8.4.0"
2026-07-20 10:05:42,000 | INFO | 192.168.56.7 | GET /api/debug | ua="curl/8.4.0"
2026-07-20 10:02:54,000 | INFO | 192.168.56.101 | POST /api/current-code | ua="Wget/1.21.3"
2026-07-20 10:06:53,000 | WARNING | 192.168.56.101 | GET /api/status | ua="Nmap Scripting Engine"
2026-07-20 10:05:00,000 | INFO | 192.168.56.11 | POST / | ua="Wget/1.21.3"
2026-07-20 10:02:02,000 | INFO | 192.168.56.11 | GET /verify-mfa | ua="Wget/1.21.3"
2026-07-20 10:02:04,000 | INFO | 192.168.56.10 | GET /api/current-code | ua="Mozilla/5.0 (Windows NT 10.0; Win64; x64) Gecko/20100101 Firefox/121.0"
2026-07-20 10:06:18,000 | WARNING | 10.0.2.15 | POST /favicon.ico | ua="curl/8.4.0"
2026-07-20 10:06:24,000 | WARNING | 192.168.56.10 | GET /support | ua="Wget/1.21.3"
2026-07-20 10:07:35,000 | INFO | 192.168.56.101 | POST /favicon.ico | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:01:06,000 | INFO | 192.168.56.11 | POST /api/debug | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:01:07,000 | INFO | 192.168.56.101 | GET /backup_secrets/ | ua="curl/8.4.0"
2026-07-20 10:05:40,000 | INFO | 192.168.56.10 | GET /support | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:06:54,000 | WARNING | 172.16.0.5 | GET /verify-mfa | ua="Nmap Scripting Engine"
2026-07-20 10:05:50,000 | WARNING | 192.168.56.20 | GET /authenticator | ua="Wget/1.21.3"
2026-07-20 10:01:11,000 | INFO | 10.0.2.15 | GET /register | ua="Nmap Scripting Engine"
2026-07-20 10:07:12,000 | INFO | 192.168.56.10 | GET /favicon.ico | ua="python-requests/2.31.0"
2026-07-20 10:06:05,000 | INFO | 192.168.56.44 | POST /verify-mfa | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
2026-07-20 10:03:42,000 | INFO | 10.0.2.15 | GET /api/status | ua="Wget/1.21.3"
2026-07-20 10:07:30,000 | INFO | 192.168.56.44 | POST /login | ua="curl/8.4.0"
2026-07-20 10:03:48,000 | INFO | 10.0.2.15 | GET /authenticator | ua="Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36"
