2026-07-29 14:04:23,321 | INFO | 192.168.20.1 | POST /api/login | Login endpoint hit
2026-07-29 14:04:23,753 | INFO | 192.168.20.1 | POST /api/login | MFA code sent to aaa@gmail.com
2026-07-29 14:04:23,754 | INFO | 192.168.20.1 | POST /api/login | Password OK, login code emailed: kien
2026-07-29 14:14:05,313 | INFO | 192.168.20.1 | POST /api/login | Login endpoint hit
2026-07-29 14:14:05,740 | INFO | 192.168.20.1 | POST /api/login | MFA code sent to aaa@gmail.com
2026-07-29 14:14:05,740 | INFO | 192.168.20.1 | POST /api/login | Password OK, login code emailed: kien
2026-07-29 14:14:17,990 | INFO | 192.168.20.1 | POST /verify-mfa | MFA verify success: kien
2026-07-29 14:14:50,752 | INFO | 192.168.20.1 | POST /api/login | Login endpoint hit
2026-07-29 14:14:51,177 | INFO | 192.168.20.1 | POST /api/login | MFA code sent to aaa@gmail.com
2026-07-29 14:14:51,178 | INFO | 192.168.20.1 | POST /api/login | Password OK, login code emailed: kien
2026-07-29 14:14:59,067 | WARNING | 192.168.20.1 | POST /verify-mfa | MFA verify failed for kien from 192.168.20.1
2026-07-29 14:22:51,131 | INFO | 192.168.20.1 | GET /favicon.ico | 404 hit: /favicon.ico from 192.168.20.1
2026-07-30 07:54:41,618 | INFO | 172.18.0.1 | GET /favicon.ico | 404 hit: /favicon.ico from 172.18.0.1
2026-07-30 07:55:31,351 | INFO | 172.18.0.1 | POST /register | Register endpoint hit
2026-07-30 07:55:31,577 | INFO | 172.18.0.1 | POST /register | New user registered: Madus
2026-07-30 07:55:47,427 | INFO | 172.18.0.1 | POST /register/confirm-mfa | MFA setup confirmed for user_id=2
2026-07-30 07:55:54,831 | INFO | 172.18.0.1 | POST /api/login | Login endpoint hit
2026-07-30 07:55:55,257 | INFO | 172.18.0.1 | POST /api/login | MFA code sent to madus@driftlock.com
2026-07-30 07:55:55,257 | INFO | 172.18.0.1 | POST /api/login | Password OK, login code emailed: Madus
2026-07-30 07:56:16,407 | INFO | 172.18.0.1 | POST /verify-mfa | MFA verify success: Madus
2026-07-30 07:57:24,317 | INFO | 172.18.0.1 | POST /register | Register endpoint hit
2026-07-30 07:57:24,533 | INFO | 172.18.0.1 | POST /register | New user registered: admin
2026-07-30 07:57:44,158 | INFO | 172.18.0.1 | POST /register/confirm-mfa | MFA setup confirmed for user_id=3
2026-07-30 07:58:02,035 | INFO | 172.18.0.1 | POST /api/login | Login endpoint hit
2026-07-30 07:58:02,467 | INFO | 172.18.0.1 | POST /api/login | MFA code sent to admin@driftlock.com
2026-07-30 07:58:02,467 | INFO | 172.18.0.1 | POST /api/login | Password OK, login code emailed: admin
2026-07-30 07:58:18,103 | INFO | 172.18.0.1 | POST /verify-mfa | MFA verify success: admin
2026-07-30 08:00:28,163 | INFO | 172.18.0.1 | POST /register | Register endpoint hit
2026-07-30 08:00:28,379 | INFO | 172.18.0.1 | POST /register | New user registered: Madu
2026-07-30 08:01:08,396 | INFO | 172.18.0.1 | POST /register/confirm-mfa | MFA setup confirmed for user_id=4
2026-07-30 08:01:19,890 | INFO | 172.18.0.1 | POST /api/login | Login endpoint hit
2026-07-30 08:01:20,319 | INFO | 172.18.0.1 | POST /api/login | MFA code sent to madu@driftlock.com
2026-07-30 08:01:20,319 | INFO | 172.18.0.1 | POST /api/login | Password OK, login code emailed: Madu
2026-07-30 08:01:36,611 | INFO | 172.18.0.1 | POST /verify-mfa | MFA verify success: Madu
2026-07-30 08:05:43,785 | INFO | 172.18.0.1 | POST /api/login | Login endpoint hit
2026-07-30 08:05:44,210 | INFO | 172.18.0.1 | POST /api/login | MFA code sent to admin@driftlock.com
2026-07-30 08:05:44,211 | INFO | 172.18.0.1 | POST /api/login | Password OK, login code emailed: admin
2026-07-30 08:06:02,703 | INFO | 172.18.0.1 | POST /verify-mfa | MFA verify success: admin
2026-07-30 08:10:22,866 | WARNING | 172.18.0.1 | GET /api/debug | Debug endpoint accessed by 172.18.0.1
2026-07-30 08:20:34,572 | INFO | 172.18.0.1 | POST /register | Register endpoint hit
2026-07-30 08:20:34,796 | INFO | 172.18.0.1 | POST /register | New user registered: terminator
2026-07-30 08:21:35,103 | INFO | 172.18.0.1 | POST /register/confirm-mfa | MFA setup confirmed for user_id=5
2026-07-30 08:25:36,470 | INFO | 172.18.0.1 | GET /favicon.ico | 404 hit: /favicon.ico from 172.18.0.1
2026-07-30 08:27:35,921 | WARNING | 172.18.0.1 | GET /api/debug | Debug endpoint accessed by 172.18.0.1
2026-07-30 08:30:42,578 | INFO | 172.18.0.1 | POST /api/login | Login endpoint hit
2026-07-30 08:30:43,005 | INFO | 172.18.0.1 | POST /api/login | MFA code sent to terminator@gmail.com
2026-07-30 08:30:43,005 | INFO | 172.18.0.1 | POST /api/login | Password OK, login code emailed: terminator@gmail.com
2026-07-30 08:31:01,210 | INFO | 172.18.0.1 | POST /verify-mfa | MFA verify success: terminator
2026-07-30 08:38:41,397 | WARNING | 172.18.0.1 | GET /api/debug | Debug endpoint accessed by 172.18.0.1
2026-07-30 08:38:41,494 | INFO | 172.18.0.1 | GET /favicon.ico | 404 hit: /favicon.ico from 172.18.0.1
2026-07-30 08:53:15,752 | WARNING | 172.18.0.1 | GET /api/debug | Debug endpoint accessed by 172.18.0.1
2026-07-30 08:59:43,044 | INFO | 172.18.0.1 | GET /favicon.ico | 404 hit: /favicon.ico from 172.18.0.1
2026-07-30 09:03:14,071 | WARNING | 172.18.0.1 | GET /api/debug | Debug endpoint accessed by 172.18.0.1
2026-07-30 09:03:14,111 | INFO | 172.18.0.1 | GET /favicon.ico | 404 hit: /favicon.ico from 172.18.0.1
2026-07-30 09:04:06,400 | WARNING | 192.168.20.1 | GET /api/debug | Debug endpoint accessed by 192.168.20.1
2026-07-30 09:05:24,364 | INFO | 192.168.20.1 | GET /favicon.ico | 404 hit: /favicon.ico from 192.168.20.1
2026-07-30 09:05:38,265 | INFO | 192.168.20.1 | GET /favicon.ico | 404 hit: /favicon.ico from 192.168.20.1
2026-07-30 09:11:01,862 | WARNING | 192.168.20.1 | GET /api/debug | Debug endpoint accessed by 192.168.20.1
2026-07-30 09:11:50,992 | WARNING | 192.168.20.1 | GET /api/debug | Debug endpoint accessed by 192.168.20.1
2026-07-30 09:44:58,355 | INFO | 192.168.20.1 | GET /accounts | 404 hit: /accounts from 192.168.20.1
2026-07-30 09:44:58,360 | INFO | 192.168.20.1 | GET /export | 404 hit: /export from 192.168.20.1
2026-07-30 09:44:58,360 | INFO | 192.168.20.1 | GET /profile | 404 hit: /profile from 192.168.20.1
2026-07-30 09:44:58,362 | INFO | 192.168.20.1 | GET /logs | 404 hit: /logs from 192.168.20.1
2026-07-30 09:44:58,363 | INFO | 192.168.20.1 | GET /dump | 404 hit: /dump from 192.168.20.1
2026-07-30 09:44:58,364 | INFO | 192.168.20.1 | GET /sql | 404 hit: /sql from 192.168.20.1
2026-07-30 09:44:58,365 | INFO | 192.168.20.1 | GET /db | 404 hit: /db from 192.168.20.1
2026-07-30 09:44:58,366 | INFO | 192.168.20.1 | GET /flag | 404 hit: /flag from 192.168.20.1
2026-07-30 09:44:58,367 | INFO | 192.168.20.1 | GET /flags | 404 hit: /flags from 192.168.20.1
2026-07-30 09:44:58,367 | INFO | 192.168.20.1 | GET /verify | 404 hit: /verify from 192.168.20.1
2026-07-30 09:44:58,369 | INFO | 192.168.20.1 | GET /secrets | 404 hit: /secrets from 192.168.20.1
2026-07-30 09:44:58,370 | INFO | 192.168.20.1 | GET /auth | 404 hit: /auth from 192.168.20.1
2026-07-30 09:44:58,371 | INFO | 192.168.20.1 | GET /dashboard | 404 hit: /dashboard from 192.168.20.1
2026-07-30 09:44:58,375 | INFO | 192.168.20.1 | GET /settings | 404 hit: /settings from 192.168.20.1
2026-07-30 09:44:58,395 | INFO | 192.168.20.1 | GET /config | 404 hit: /config from 192.168.20.1
2026-07-30 09:44:58,395 | INFO | 192.168.20.1 | GET /health | 404 hit: /health from 192.168.20.1
2026-07-30 09:44:58,395 | INFO | 192.168.20.1 | GET /refresh | 404 hit: /refresh from 192.168.20.1
2026-07-30 09:44:58,396 | INFO | 192.168.20.1 | GET /token | 404 hit: /token from 192.168.20.1
2026-07-30 09:44:58,396 | INFO | 192.168.20.1 | GET /users | 404 hit: /users from 192.168.20.1
2026-07-30 09:44:58,396 | INFO | 192.168.20.1 | GET /metrics | 404 hit: /metrics from 192.168.20.1
2026-07-30 09:44:58,396 | INFO | 192.168.20.1 | GET /api | 404 hit: /api from 192.168.20.1
2026-07-30 09:44:58,397 | INFO | 192.168.20.1 | GET /backups | 404 hit: /backups from 192.168.20.1
2026-07-30 09:44:58,397 | INFO | 192.168.20.1 | GET /backup | 404 hit: /backup from 192.168.20.1
2026-07-30 09:44:58,397 | INFO | 192.168.20.1 | GET /v1 | 404 hit: /v1 from 192.168.20.1
2026-07-30 09:44:58,397 | INFO | 192.168.20.1 | GET /internal | 404 hit: /internal from 192.168.20.1
2026-07-30 09:44:58,398 | INFO | 192.168.20.1 | GET /secret | 404 hit: /secret from 192.168.20.1
